SurveyYear,ADM1_NAME,received_all_8_basics,received_nos,number_of_children_12-23_months,number_of_children_12-23_months_(unweighted),vacc_round,vacc,round,value,vacc_age,pmc_3_recommen,southern_nga,geo_zone,mealses_incr,dtp1_to_3_drop,dtp2_to_measles_drop,State
2018,Lagos,62.4,1.7,329,155,dpt_3,dpt,3,90.8,106,yes,Southern States,South-West,no,0.93,0.95,Lagos
2018,Lagos,62.4,1.7,329,155,measles,measles,,89.5,274,yes,Southern States,South-West,no,0.93,0.95,Lagos
2018,Nasarawa,39.1,8.7,85,137,bcg,bcg,,87.6,0,no,Northern States,North-Central,yes,0.75,0.96,Nasarawa
2018,Nasarawa,39.1,8.7,85,137,dpt_1,dpt,1,79.4,61,no,Northern States,North-Central,yes,0.75,0.96,Nasarawa
2018,Nasarawa,39.1,8.7,85,137,dpt_2,dpt,2,68,76,yes,Northern States,North-Central,yes,0.75,0.96,Nasarawa
2018,Nasarawa,39.1,8.7,85,137,dpt_3,dpt,3,59.7,106,yes,Northern States,North-Central,yes,0.75,0.96,Nasarawa
2018,Nasarawa,39.1,8.7,85,137,measles,measles,,65.6,274,yes,Northern States,North-Central,yes,0.75,0.96,Nasarawa
2018,Niger,23.3,13.4,256,230,bcg,bcg,,62,0,no,Northern States,North-Central,yes,0.71,0.9,Niger
2018,Niger,23.3,13.4,256,230,dpt_1,dpt,1,54.7,61,no,Northern States,North-Central,yes,0.71,0.9,Niger
2018,Niger,23.3,13.4,256,230,dpt_2,dpt,2,45,76,yes,Northern States,North-Central,yes,0.71,0.9,Niger
2018,Niger,23.3,13.4,256,230,dpt_3,dpt,3,38.8,106,yes,Northern States,North-Central,yes,0.71,0.9,Niger
2018,Niger,23.3,13.4,256,230,measles,measles,,40.5,274,yes,Northern States,North-Central,yes,0.71,0.9,Niger
2018,Ogun,23.1,17.8,121,105,bcg,bcg,,74.1,0,no,Southern States,South-West,yes,0.69,0.87,Ogun
2018,Ogun,23.1,17.8,121,105,dpt_1,dpt,1,73.4,61,no,Southern States,South-West,yes,0.69,0.87,Ogun
2018,Ogun,23.1,17.8,121,105,dpt_2,dpt,2,59.9,76,yes,Southern States,South-West,yes,0.69,0.87,Ogun
2018,Ogun,23.1,17.8,121,105,dpt_3,dpt,3,50.3,106,yes,Southern States,South-West,yes,0.69,0.87,Ogun
2018,Ogun,23.1,17.8,121,105,measles,measles,,51.9,274,yes,Southern States,South-West,yes,0.69,0.87,Ogun
2018,Ondo,50.5,12.4,75,94,bcg,bcg,,83.7,0,no,Southern States,South-West,no,0.94,0.92,Ondo
2018,Ondo,50.5,12.4,75,94,dpt_1,dpt,1,82.1,61,no,Southern States,South-West,no,0.94,0.92,Ondo
2018,Ondo,50.5,12.4,75,94,dpt_2,dpt,2,80.1,76,yes,Southern States,South-West,no,0.94,0.92,Ondo
2018,Ondo,50.5,12.4,75,94,dpt_3,dpt,3,77,106,yes,Southern States,South-West,no,0.94,0.92,Ondo
2018,Ondo,50.5,12.4,75,94,measles,measles,,73.5,274,yes,Southern States,South-West,no,0.94,0.92,Ondo
2018,Osun,33.8,5.7,102,92,bcg,bcg,,94.3,0,no,Southern States,South-West,no,0.94,0.87,Osun
2018,Osun,33.8,5.7,102,92,dpt_1,dpt,1,88.9,61,no,Southern States,South-West,no,0.94,0.87,Osun
2018,Osun,33.8,5.7,102,92,dpt_2,dpt,2,88.1,76,yes,Southern States,South-West,no,0.94,0.87,Osun
2018,Osun,33.8,5.7,102,92,dpt_3,dpt,3,83.5,106,yes,Southern States,South-West,no,0.94,0.87,Osun
2018,Osun,33.8,5.7,102,92,measles,measles,,76.6,274,yes,Southern States,South-West,no,0.94,0.87,Osun
2018,Oyo,23.3,9.3,179,117,bcg,bcg,,88.6,0,no,Southern States,South-West,yes,0.53,0.92,Oyo
2018,Oyo,23.3,9.3,179,117,dpt_1,dpt,1,83.2,61,no,Southern States,South-West,yes,0.53,0.92,Oyo
2018,Oyo,23.3,9.3,179,117,dpt_2,dpt,2,67.3,76,yes,Southern States,South-West,yes,0.53,0.92,Oyo
2018,Oyo,23.3,9.3,179,117,dpt_3,dpt,3,44.3,106,yes,Southern States,South-West,yes,0.53,0.92,Oyo
2018,Oyo,23.3,9.3,179,117,measles,measles,,61.6,274,yes,Southern States,South-West,yes,0.53,0.92,Oyo
2018,Plateau,47.8,8.6,104,134,bcg,bcg,,81.9,0,no,Northern States,North-Central,no,0.83,0.77,Plateau
2018,Plateau,47.8,8.6,104,134,dpt_1,dpt,1,86.3,61,no,Northern States,North-Central,no,0.83,0.77,Plateau
2018,Plateau,47.8,8.6,104,134,dpt_2,dpt,2,82,76,yes,Northern States,North-Central,no,0.83,0.77,Plateau
2018,Plateau,47.8,8.6,104,134,dpt_3,dpt,3,71.8,106,yes,Northern States,North-Central,no,0.83,0.77,Plateau
2018,Plateau,47.8,8.6,104,134,measles,measles,,63.5,274,yes,Northern States,North-Central,no,0.83,0.77,Plateau
2018,Rivers,39.2,11,172,124,bcg,bcg,,83.8,0,no,Southern States,South-South,no,0.88,0.88,Rivers
2018,Rivers,39.2,11,172,124,dpt_1,dpt,1,85.1,61,no,Southern States,South-South,no,0.88,0.88,Rivers
2018,Rivers,39.2,11,172,124,dpt_2,dpt,2,83,76,yes,Southern States,South-South,no,0.88,0.88,Rivers
2018,Rivers,39.2,11,172,124,dpt_3,dpt,3,74.5,106,yes,Southern States,South-South,no,0.88,0.88,Rivers
2018,Rivers,39.2,11,172,124,measles,measles,,72.8,274,yes,Southern States,South-South,no,0.88,0.88,Rivers
2018,Sokoto,4.6,52.4,178,197,bcg,bcg,,35.6,0,no,Northern States,North-West,yes,0.29,1.53,Sokoto
2018,Sokoto,4.6,52.4,178,197,dpt_1,dpt,1,24.6,61,no,Northern States,North-West,yes,0.29,1.53,Sokoto
